,unguessed states
0,Arizona
1,Arkansas
2,Connecticut
3,Delaware
4,Idaho
5,Illinois
6,Indiana
7,Kentucky
8,Maryland
9,Missouri
10,Nebraska
11,Nevada
12,New Hampshire
13,Oklahoma
14,Oregon
15,Rhode Island
16,South Dakota
17,Tennessee
18,Utah
19,Vermont
20,West Virginia
21,Wyoming
